機能	Rank1_通常	Rank1_Premium	Rank1_Boost	Rank1_Premium+Boost	Rank2_通常	Rank2_Premium	Rank2_Boost	Rank2_Premium+Boost	Rank3_通常	Rank3_Premium	Rank3_Boost	Rank3_Premium+Boost	Rank4_通常	Rank4_Premium	Rank4_Boost	Rank4_Premium+Boost	Rank5_通常	Rank5_Premium	Rank5_Boost	Rank5_Premium+Boost
1. メッセージ送信数	3通/日	無制限	3通/日 + 10通	無制限	10通/日	無制限	10通/日 + 10通	無制限	無制限	無制限	無制限	無制限	無制限	無制限	無制限	無制限	無制限	無制限	無制限	無制限
2-A. 全員から受信(基本設定)	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●
2-B. Rank 1 ブロック(R2以上のみ受信)	×	×	×	×	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可
2-C. Rank 2以下 ブロック(R3以上のみ受信)	×	×	×	×	×	×	×	×	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可	●設定可
2-D. Rank 3以下 ブロック(R4以上のみ受信)	×	×	×	×	×	×	×	×	×	×	×	×	●設定可	●設定可	●設定可	●設定可	●	●	●	●
3. 詳細検索(年齢 / ランク / 目的 / 地域)	▲(地域のみ)	●全項目	▲(地域のみ)	●全項目	▲(地域・年齢のみ)	●全項目	▲(地域・年齢のみ)	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目	●全項目
4. 足あと閲覧	×	●無制限	×	●無制限	×	●無制限	×	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限	●無制限
5. デート約束・QR	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●
6-A. ライブ配信 (集金)	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	●	●	●	●
6-B. ライブ配信クリエーター収益率	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	●(70%)	●(70%)	●(70%)	●(70%)
7-A. ファンクラブ開設	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	●	●	●	●
7-B. ファンクラブクリエーター収益	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	●(70%)	●(70%)	●(70%)	●(70%)
8. 通話チケット販売	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×
9-A. ギフト受取(アイテムをもらう)	×	×	×	×	×	×	×	×	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)	●(受取可)
9-B. 換金 (現金化)	×	×	×	×	×	×	×	×	×	×	×	×	●	●	●	●	●	●	●	●
9-C. 換金率	×	×	×	×	×	×	×	×	×	×	×	×	●(50%)	●(50%)	●(50%)	●(50%)	●(70%)	●(70%)	●(70%)	●(70%)
10. 表示順位	低	中	最高(PR)	最高(PR)	低	中	最高(PR)	最高(PR)	中	中	最高(PR)	最高(PR)	高	高	最高(PR)	最高(PR)	最高(God)	最高(God)	最高(PR+God)	最高(PR+God)
11. ログイン通知	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	●	●	●	●
12. ファンクラブ加入(支払い側)	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●
13. ギフト送信(投げ銭する側)	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●
14. 通話チケット購入(買う側)	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●	●
